"TARIM, ORMANCILIK VE BALIKÇILIK",,
52,BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.
53,BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.
54,BVSAN,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.
55,CEMZY,CEM ZEYTİN A.Ş.
56,CCOLA,COCA-COLA İÇECEK A.Ş.
57,CGCAM,ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş.
58,CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.
59,CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.
60,CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.
61,CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.
62,CMENT,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.
63,CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
64,CUSAN,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.
65,DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.
66,DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.
67,DMSAS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.
68,DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.
69,DESA,DESA DERİ SANAYİ VE TİCARET A.Ş.
70,DEVA,DEVA HOLDİNG A.Ş.
71,DNISI,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.
72,DIRIT,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.
73,DITAS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.
74,DMRGD,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.
75,DOFER,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.
76,DGNMO,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.
77,DOGUB,DOĞUSAN BORU SANAYİ VE TİCARET A.Ş.
78,DOKTA,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.
